,index,shannon,vowels,numbers,dots,length,symbols,f_slash,d_d,d_a,d_s,a_d,a_a,a_s,s_d,s_a,s_s,class
8021,16783,4.0,16,0,2,56,4,4,0.0,0.0,0.0,0.0,39.0,7.0,0.0,7.0,2.0,1
8022,6502,4.0,23,0,1,88,4,8,0.0,0.0,0.0,0.0,56.0,15.0,0.0,14.0,2.0,0
8023,4362,4.0,14,23,2,72,2,6,12.0,9.0,2.0,9.0,26.0,6.0,2.0,5.0,0.0,0
8024,262,4.0,13,2,2,51,5,2,1.0,0.0,0.0,1.0,34.0,7.0,0.0,7.0,0.0,0
8025,375,4.0,8,2,1,31,4,1,0.0,1.0,0.0,2.0,19.0,4.0,0.0,4.0,0.0,0
8026,1966,4.0,10,0,1,33,3,2,0.0,0.0,0.0,0.0,24.0,4.0,0.0,4.0,0.0,0
8027,3957,3.0,8,0,1,24,2,2,0.0,0.0,0.0,0.0,17.0,3.0,0.0,3.0,0.0,0
8028,16512,4.0,10,6,3,50,2,5,4.0,0.0,2.0,1.0,28.0,6.0,1.0,7.0,0.0,1
8029,1466,5.0,76,42,3,337,7,3,7.0,31.0,3.0,30.0,219.0,20.0,4.0,19.0,3.0,0
8030,12615,4.0,13,5,3,51,4,4,3.0,2.0,0.0,1.0,28.0,7.0,1.0,6.0,2.0,1
8031,13543,3.0,6,0,3,26,3,2,0.0,0.0,0.0,0.0,14.0,5.0,0.0,5.0,1.0,1
8032,5696,3.0,11,0,2,32,2,3,0.0,0.0,0.0,0.0,21.0,5.0,0.0,5.0,0.0,0
8033,1243,4.0,22,5,2,75,6,3,3.0,0.0,1.0,0.0,51.0,9.0,2.0,8.0,0.0,0
8034,8105,4.0,15,23,1,87,3,12,13.0,6.0,3.0,6.0,35.0,9.0,4.0,8.0,2.0,0
8035,16267,3.0,13,0,2,35,3,2,0.0,0.0,0.0,0.0,22.0,6.0,0.0,6.0,0.0,1
8036,17997,4.0,25,3,2,85,8,3,1.0,0.0,1.0,0.0,53.0,13.0,2.0,12.0,2.0,1
8037,14954,4.0,7,0,3,34,2,2,0.0,0.0,0.0,0.0,23.0,5.0,0.0,5.0,0.0,1
8038,941,4.0,28,2,1,103,9,6,0.0,2.0,0.0,0.0,62.0,17.0,2.0,15.0,4.0,0
8039,2949,4.0,29,49,15,153,3,2,31.0,14.0,4.0,16.0,56.0,14.0,2.0,15.0,0.0,0
8040,9663,4.0,10,12,1,44,4,2,10.0,0.0,1.0,1.0,22.0,4.0,1.0,4.0,0.0,0
8041,3346,4.0,28,5,1,118,4,5,4.0,0.0,1.0,0.0,74.0,18.0,1.0,17.0,2.0,0
